代號,名稱,開盤,最高,最低,收盤,成交量
'733633,宜特元大76購01,0.01,0.01,0.01,0.01,0
'733634,凱美元大76購02,2.7,2.7,2.7,2.7,0
'733635,合晶統一76購01,3.12,3.12,3.12,3.12,0
'733636,中美晶兆豐77購01,6.7,6.7,6.7,6.7,0
'733637,先豐元富76購01,0.01,0.01,0.01,0.01,0
'733638,頎邦元富76購01,0.62,0.62,0.62,0.62,0
'733639,世界國泰78購01,0.52,0.58,0.52,0.57,50
'733640,僑威國泰76購01,0.05,0.05,0.05,0.05,0
'733641,精測國泰76購04,0.02,0.02,0.02,0.02,0
'733642,環球晶國泰76購01,5.4,6.2,5.25,6.2,106
'733643,合晶永昌76購01,3.89,3.89,3.89,3.89,0
'733644,中美晶富邦76購02,7.75,7.75,7.75,7.75,0
'733645,欣銓元富76購01,0.11,0.11,0.11,0.11,0
'733646,神盾永豐76購01,0.02,0.02,0.02,0.02,0
'733647,東洋群益76購01,0.01,0.01,0.01,0.01,0
'733648,原相群益76購01,0.02,0.02,0.02,0.02,0
'733649,群聯群益76購02,0.12,0.12,0.12,0.12,80
'733650,鈊象台新78購01,1.14,1.14,1.14,1.14,0
'733651,東洋第一79購01,0.61,0.61,0.61,0.61,0
'733652,金可第一79購01,6.05,6.05,6.05,6.05,0
'733653,VHQ凱基76購01,1.01,1.1,1.01,1.1,50
'733654,VHQ國泰79購01,1.18,1.31,1.18,1.31,140
'733655,金居國泰77購01,0.82,0.82,0.82,0.82,0
'733656,凱美國泰76購01,2.22,2.22,2.22,2.22,0
'733657,環球晶統一77購04,2.09,2.25,2.09,2.25,2
'733658,環球晶統一77購05,4.46,4.82,4.46,4.82,40
'733659,大江元大76購01,2.31,2.31,2.31,2.31,0
'733660,台半元大76購01,1.15,1.15,1.15,1.15,0
'733661,東洋元大77購01,0.08,0.08,0.08,0.08,0
'733662,胡連元大76購01,0.18,0.18,0.18,0.18,0
'733663,富喬元大76購02,1.21,1.21,1.21,1.21,0
'733664,群聯元大77購01,0.23,0.23,0.23,0.23,0
'733665,勝麗兆豐77購01,0.19,0.24,0.19,0.24,84
'733666,大宇資國泰77購01,1.66,2.31,1.65,2.31,403
'733667,友華國泰76購01,0.02,0.02,0.02,0.02,0
'733668,先進光國泰76購01,0.46,0.46,0.46,0.46,0
'733669,威剛國泰79購01,0.11,0.12,0.11,0.12,23
'733670,雙鴻國泰78購01,0.16,0.16,0.16,0.16,5
'733671,明安元富76購01,0.56,0.56,0.56,0.56,0
'733672,頎邦富邦78購01,1.37,1.37,1.28,1.28,40
'733673,牧德國票76購01,7.55,7.55,7.55,7.55,0
'733674,直得凱基76購01,9.7,9.7,9.7,9.7,0
