代號,名稱,開盤,最高,最低,收盤,成交量
'070596,亞光元富76購01,0.07,0.07,0.07,0.07,0
'070597,亞光元富76購02,0.05,0.05,0.05,0.05,0
'070598,緯創元富76購01,0.1,0.1,0.1,0.1,0
'070599,鎧勝元富76購01,0.01,0.01,0.01,0.01,0
'07059P,隆達群益7A售02,1.26,1.27,1.22,1.22,230
'070600,儒鴻統一77購01,1.23,1.23,1.23,1.23,3
'070601,長榮統一77購01,0.25,0.25,0.25,0.25,62
'070602,中信金第一7C購01,1.58,1.58,1.58,1.58,0
'070603,A50正2永昌76購01,0.1,0.1,0.1,0.1,0
'070604,臺股指永昌76購01,3.78,3.78,3.78,3.78,0
'070605,臺股指永昌76購02,3.19,3.19,3.19,3.19,0
'070606,大立光永昌76購01,1.04,1.04,1.04,1.04,50
'070607,滬深2X永昌77購02,0.71,0.71,0.71,0.71,1
'070608,大同永昌76購01,1.33,1.33,1.33,1.33,0
'070609,可成永昌76購01,1.27,1.27,1.27,1.27,10
'07060P,臺股指群益79售08,1.14,1.14,1.02,1.02,940
'070610,鴻海中信76購05,0.06,0.06,0.05,0.05,490
'070611,鴻海中信76購06,0.02,0.02,0.02,0.02,0
'070612,群創中信76購01,0.09,0.09,0.09,0.09,0
'070613,玉晶光台新78購01,2.78,2.78,2.78,2.78,0
'070614,臻鼎台新78購01,0.42,0.42,0.42,0.42,0
'070615,上証2X永豐76購01,0.01,0.01,0.01,0.01,0
'070616,綠悅永豐76購01,0.01,0.01,0.01,0.01,0
'070617,華新科永豐76購01,7.8,7.8,7.8,7.8,20
'070618,宏達電永豐76購01,0.01,0.01,0.01,0.01,0
'070619,大立光永豐76購11,0.01,0.01,0.01,0.01,0
'07061P,臺股指群益79售09,1.36,1.36,1.24,1.24,180
'070620,禾伸堂永豐76購02,4.13,4.13,4.13,4.13,0
'070621,玉晶光永豐76購01,1.59,1.84,1.34,1.36,842
'070622,玉晶光永豐76購02,2.36,2.36,2.36,2.36,30
'070623,瀚宇博永豐76購01,0.44,0.44,0.44,0.44,0
'070624,玉晶光兆豐76購01,2.15,2.15,2.01,2.01,25
'070625,臺股指兆豐76購01,1.52,1.52,1.52,1.52,0
'070626,A50正2群益77購01,0.08,0.1,0.08,0.1,260
'070627,大立光群益76購20,1.3,1.35,1.29,1.35,27
'070628,大立光群益76購21,0.1,0.1,0.1,0.1,0
'070629,大立光群益77購08,0.52,0.59,0.52,0.56,720
'07062P,臺股指群益79售10,1.43,1.43,1.43,1.43,1
'070630,大立光群益77購09,0.2,0.2,0.2,0.2,450
'070631,創意群益76購03,0.03,0.03,0.03,0.03,150
'070632,嘉澤群益76購03,0.02,0.02,0.02,0.02,0
'070633,GIS群益76購06,0.02,0.02,0.02,0.02,0
'070634,臺股指群益76購01,2.8,2.8,2.8,2.8,1
'070635,臺股指群益76購02,1.1,1.1,1.1,1.1,0
'070636,臺股指群益76購03,0.91,0.91,0.91,0.91,0
'070637,臺股指群益76購04,0.53,0.53,0.53,0.53,0
'070638,台積電凱基76購01,0.54,0.56,0.54,0.56,223
'070639,台積電凱基76購02,0.26,0.28,0.26,0.28,49
'07063P,臺股指群益79售11,1.85,1.85,1.74,1.74,85
'070640,台積電凱基76購03,0.21,0.21,0.21,0.21,8
'070641,台積電凱基76購04,0.1,0.11,0.1,0.11,12
'070642,台積電凱基76購05,0.04,0.04,0.04,0.04,321
'070643,大立光凱基76購10,0.84,0.97,0.84,0.97,26
'070644,大立光凱基78購01,0.95,0.95,0.95,0.95,60
'070645,禾伸堂凱基76購03,8.8,8.8,8.8,8.8,0
'070646,玉晶光凱基76購01,4.11,4.11,4.11,4.11,0
'070647,全宇凱基76購01,0.44,0.44,0.44,0.44,10
'070648,瀚宇博凱基76購01,1.44,1.44,1.4,1.4,40
'070649,台虹凱基76購01,0.09,0.09,0.09,0.09,100
'07064P,臺股指群益79售12,1.51,1.51,1.5,1.5,13
'070650,臺股指凱基76購01,2.9,2.9,2.9,2.9,0
'070651,臺股指凱基76購02,2.95,2.95,2.95,2.95,0
'070652,臺股指凱基76購03,3.96,3.96,3.96,3.96,201
'070653,臺股指凱基76購04,1.39,1.39,1.39,1.39,0
'070654,台積電統一78購03,0.57,0.62,0.57,0.6,5432
'070655,大立光統一76購06,0.28,0.35,0.28,0.35,558
'070656,大立光統一77購07,0.27,0.27,0.27,0.27,15
'070657,臺股指統一76購06,1.34,1.34,1.34,1.34,0
'070658,臺股指統一76購07,2.49,2.49,2.49,2.49,0
'070659,滬深2X元富76購02,0.01,0.01,0.01,0.01,0
'07065P,臺股指群益79售13,2.05,2.05,1.88,1.88,786
'070660,玉晶光元富76購01,1.26,1.26,1.26,1.26,10
'070661,群創元富76購02,0.03,0.03,0.03,0.03,300
'070662,臺股指元富76購01,1.27,1.27,1.27,1.27,0
'070663,臺股指元富76購02,3.04,3.04,3.04,3.04,0
'070664,FB上証元大76購02,0.01,0.01,0.01,0.01,0
'070665,滬深2X元大76購04,0.01,0.01,0.01,0.01,0
'070666,中石化元大77購01,0.19,0.2,0.18,0.19,1018
'070667,力麗元大76購01,0.1,0.1,0.1,0.1,0
'070668,儒鴻元大76購04,1.81,1.81,1.81,1.81,0
'070669,聯電元大77購01,0.98,0.98,0.98,0.98,541
'07066P,臺股指群益79售14,2.51,2.51,2.3,2.3,85
'070670,旺宏元大77購03,0.73,0.75,0.65,0.66,506
'070671,旺宏元大77購04,1.02,1.02,0.93,0.93,179
'070672,奇力新元大77購01,4.94,4.94,4.94,4.94,30
'070673,大立光元大76購19,0.17,0.17,0.17,0.17,0
'070674,大立光元大76購20,0.77,0.95,0.75,0.95,321
'070675,大立光元大77購05,1.19,1.47,1.16,1.4,372
'070676,禾伸堂元大76購03,6.6,6.6,6.6,6.6,0
'070677,緯創元大76購02,0.28,0.28,0.28,0.28,100
'070678,玉晶光元大77購01,2.27,2.27,2.27,2.27,0
'070679,玉晶光元大77購02,2.41,2.41,2.41,2.41,0
'07067P,臺股指群益79售15,3.02,3.02,2.78,2.78,927
'070680,玉晶光元大77購03,2.1,2.15,1.89,1.89,249
'070681,台勝科元大76購02,4.56,4.56,4.56,4.56,0
'070682,康友元大76購02,0.09,0.09,0.09,0.09,0
'070683,臺股指元大76購14,1.71,1.71,1.71,1.71,0
'070684,臺股指元大76購15,1.25,1.25,1.25,1.25,0
'070685,玉晶光國泰78購01,3.7,3.7,3.7,3.7,0
'070686,台灣50富邦76購01,1.17,1.31,1.17,1.31,8
'070687,中石化富邦77購01,0.2,0.2,0.2,0.2,0
'070688,臺股指富邦76購01,2.4,2.4,2.4,2.4,0
'070689,臺股指富邦76購02,1.91,1.91,1.91,1.91,0
'07068P,臺股指群益79售16,3.75,3.75,3.75,3.75,30
